,Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url,Price_level,Unnamed: 17,name,url_tripadvisor,address,phone,rating_trip,type,user_number_trip
0,"莫夏67印度餐廳大安店 ( Moksha 67 da-an branch Taipei, Indian restaurant )",106台灣台北市大安區仁愛路四段48巷14號,4.7,521,25.0369707,121.5469293,+886 2 2706 9878,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",TRUE,https://maps.google.com/?cid=4753112619047560606,,, 莫夏印度餐廳-大安店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d19354602-Reviews-Moksha_67_da_an_branch_Taipei_Indian_restaurant-Da_an_Taipei.html,106 台灣 大安台北 仁爱路四段48巷14号,+886 2 2706 9878,5,"印度料理,酒吧",17
1,Snail 蝸牛義大利餐廳 民生店,105台灣台北市松山區民生東路四段56巷3弄10號,4.6,4210,25.0570927,121.552205,+886 2 2713 6648,"星期一: 11:30 – 14:30, 17:30 – 21:30","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=10240978350335078448,2,, 蝸牛義大利餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6151297-Reviews-Snail_Italian_Resturant-Songshan_Taipei.html,"台灣 松山台北 No. 10, Aly. 3, Ln. 56, Sec. 4, Minsheng E. Rd., Songshan Dist",+886 2 2713 6648,4,泰式料理,28
2,王品牛排台北中山北店,104台灣台北市中山區中山北路二段33號2F,4.5,3775,25.0533809,121.5228424,+886 2 2536 1350,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:00 – 14:30, 17:00 – 22:00","星期日: 11:00 – 14:30, 17:00 – 22:00",,https://maps.google.com/?cid=6112238990394603020,3,, 王品 - 台北中山北店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d6135565-Reviews-Wang_Steak_Zhongshan_N_Branch-Zhongshan_District_Taipei.html,104 台灣 中山區台北 中山區中山北路二段33號2F Zhongshan N. Branch,+886 2 2536 1350,4,泰式料理,394
3,莫夏印度餐廳 Moksha Indian Restaurant,111台灣台北市士林區中山北路六段138號,4.5,724,25.1060031,121.5250717,+886 2 2834 7050,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=1185457259055754521,2,, 莫夏印度餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d12945610-Reviews-Moksha_indian_restaurant-Shilin_Taipei.html,11155 台灣 士林台北 士林区中山北路六段138号 Near Zhishan Mrt Station Near Tianmu Sogo,+886 2 2834 7050,4.5,墨西哥料理異國風味,69
4,L' AGE 熟成餐廳,106台灣台北市大安區仁愛路三段143巷25號,4.6,457,25.0396075,121.5431817,+886 2 2711 3881,星期一: 休息,星期二: 休息,星期三: 17:30 – 23:30,星期四: 17:30 – 23:30,星期五: 17:30 – 23:30,星期六: 17:30 – 23:30,星期日: 17:30 – 23:30,,https://maps.google.com/?cid=7495741853525460316,2,, 熟成餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d4055844-Reviews-L_age-Da_an_Taipei.html,104 台灣 大安台北 大安区仁爱路三段143巷25号,+886 2 2711 3881,4.5,異國風味,12
5,El Marques,106台灣台北市大安區延吉街259號,4.5,678,25.0344533,121.5567221,+886 933 800 260,"星期一: 12:00 – 14:30, 17:30 – 22:00","星期二: 12:00 – 14:00, 17:30 – 22:00","星期三: 12:00 – 14:00, 17:30 – 22:00","星期四: 12:00 – 14:00, 17:30 – 22:00","星期五: 12:00 – 14:00, 17:30 – 23:00","星期六: 12:00 – 14:00, 17:30 – 23:00","星期日: 12:00 – 14:00, 17:30 – 22:00",,https://maps.google.com/?cid=6249768876701097170,2,,,,,,0,,0
6,Der Löwe Bavarian Restaurant 巴獅子德國餐廳,"B1, No. 19號敦化南路二段63巷大安區台北市台灣 106",4.4,789,25.0309783,121.5499473,+886 2 2325 6457,星期一: 休息,星期二: 休息,星期三: 17:30 – 22:00,星期四: 17:30 – 22:00,星期五: 17:30 – 22:00,"星期六: 12:00 – 15:00, 17:30 – 22:00","星期日: 12:00 – 15:00, 17:30 – 22:00",TRUE,https://maps.google.com/?cid=4899815815877259739,2,, 巴獅子德國餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d3855843-Reviews-Der_Loewe_Bavarian_Restaurant-Da_an_Taipei.html,00106 台灣 大安台北 敦化南路二段63巷19号,+886 2 2325 6457,4.5,義式料理法式料理酒吧,47
7,Wenting Hotpot Restaurant,"No, No. 161西寧南路萬華區台北市台灣 108",4.6,44,25.0433662,121.5062436,+886 2 2731 2107,星期一: 11:30 – 00:00,星期二: 11:30 – 00:00,星期三: 11:30 – 00:00,星期四: 11:30 – 00:00,星期五: 11:30 – 00:00,星期六: 11:30 – 00:00,星期日: 11:30 – 00:00,,https://maps.google.com/?cid=13583619622462258827,,, 問鼎麻辣鍋,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d8557295-Reviews-Wenting_hot_pot_Zhongxiao-Da_an_Taipei.html,10627 台灣 大安台北 大安区忠孝东路四段210号2楼,+886 2 2731 2107,4,韓式料理,65
8,巴雷巴雷印度餐廳,105台灣台北市松山區光復北路12號1樓,4.8,8869,25.0486993,121.5576634,+886 2 2570 7265,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:45","星期三: 11:30 – 14:30, 17:30 – 21:45","星期四: 11:30 – 14:30, 17:30 – 21:45","星期五: 11:30 – 14:30, 17:30 – 21:45","星期六: 11:30 – 14:30, 17:30 – 21:45","星期日: 11:30 – 14:30, 17:30 – 21:45",,https://maps.google.com/?cid=13818335170560517095,2,, 巴雷巴雷印度餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d4009882-Reviews-Balle_Balle_Indian_Restaurant-Songshan_Taipei.html,105 台灣 松山台北 松山区光复北路12号,+886 2 2570 7265,4.5,"美式料理,異國風味,現代創意料理",681
9,秘魯料理 Fiesta Restaurant & Bar,111台灣台北市士林區承德路四段189號,4.1,873,25.0880484,121.5223679,+886 2 2882 3286,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=6184521980413489608,2,, Fiesta Restaurant & Bar,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d12322797-Reviews-Fiesta_Restaurant_Bar-Shilin_Taipei.html,111 台灣 士林台北 士林区承德路四段189号,+886 2 2882 3286,4,"印度料理,異國風味,燒烤",16
