,Name,Address,Rating,Rating_str,User Ratings Total,Latitude,Longitude,distance(km),distance_group,Phone,price,rating_trip,type,user_number_trip,users,rating_score,popularity,distance_score
0,"馬友友印度清真餐廳 Mayur Indian Kitchen, Halal Restaurant (MIK-8, Zhongxiao E.rd)","台北市大安區忠孝東路四段146巷1號2樓 2F, No. 1, Ln, No. 146忠孝東路四段大安區台北市台灣 106",4.7,4.7,1777,25.0413076,121.5497081,6.551421774,2,+886 2 2711 2067,,5,中式料理,33,1810,94,91,80
1,馬友友印度廚房 - 大直 Mayur Indian Kitchen restaurant Dazhi (MiK-hi5),104台灣台北市中山區北安路630巷8號,4.6,4.6,1245,25.0826568,121.5496831,10.9069577,3,+886 2 2533 0698,$300-750,4.5,中式料理,321,1566,91,89,70
2,Malavida,106台灣台北市大安區光復南路280巷48號106079,4.5,4.5,467,25.0399655,121.5552257,6.202290284,1,+886 2 8773 9123,,0,中式料理,0,467,90,63,80
3,The Adlon Restaurant & Bar,"1F, No. 100安和路二段大安區台北市台灣 106",4.1,4.1,41,25.0285007,121.5499703,5.273251235,1,+886 2 2325 4433,,5,中式料理,1,42,82,12,90
4,籌學費餐廳,110台灣台北市信義區光復南路417巷37號,4.5,4.5,488,25.0369568,121.557991,5.79387495,1,+886 2 2345 1398,$300-750,5,中式料理,1,489,90,65,90
5,星期五美式餐廳（美麗華）,10491台灣台北市中山區敬業三路22號2樓,4.2,4.2,2153,25.0836081,121.5572275,10.84795728,3,+886 2 2175 3358,,4,中式料理,518,2671,83,95,70
6,Namaste Indian Restaurant,106台灣台北市大安區安和路二段180號,4.4,4.4,382,25.0251882,121.550026,4.956298899,1,+886 2 2736 3733,$300-750,4.5,中式料理,14,396,88,59,90
7,梅子鰻蒲燒專賣店 Umeko Japanese Unagi Restaurant,10491台灣台北市中山區林森北路107巷8號,4.5,4.5,2248,25.0501842,121.5253369,8.658516268,2,+886 2 2521 2813,$300-750,5,中式料理,349,2597,91,95,80
8,定食8-南門店,100台灣台北市中正區林森南路142號2樓,4,4,1896,25.0332444,121.5181789,7.763688232,2,+886 2 2356 3608,$300-750,4,中式料理,23,1919,80,92,80
9,樂氣串燒居酒屋,106台灣台北市大安區通化街19巷3號,4.8,4.8,1315,25.031721,121.554587,5.377608499,1,+886 2 2700 9425,,0,中式料理,0,1315,96,86,90
10,浙寧芳家餐廳,106台灣台北市大安區信義路四段136號,4.1,4.1,563,25.0330459,121.5499104,5.717410851,1,+886 2 2754 1658,$300-750,4.5,中式料理,5,568,82,68,90
11,川揚友梅餐廳,110台灣台北市信義區莊敬路333號,4,4,456,25.0280064,121.5641184,4.660325982,1,+886 2 2720 2126,$1-300,4,中式料理,2,458,80,63,90
12,峨嵋川菜餐廳,100台灣台北市中正區羅斯福路三段316巷8弄10號,4.1,4.1,1197,25.0154042,121.5325493,5.40025498,1,+886 2 2365 5157,$300-750,4,中式料理,17,1214,81,84,90
13,易牙居餐廳,100台灣台北市中正區羅斯福路三段286巷16號,3.9,3.9,1367,25.015907,121.532355,5.4483972,1,+886 2 2367 8218,$300-750,4,中式料理,17,1384,78,87,90
14,養心茶樓 蔬食飲茶,104台灣台北市中山區松江路128號,4.3,4.3,6146,25.0527859,121.5327926,8.479133802,2,+886 2 2542 8828,$300-750,4.5,中式料理,2230,8376,87,99,80
15,鼎富樓餐廳,100台灣台北市中正區武昌街一段1-2號2樓,3.9,3.9,594,25.0441669,121.513528,8.932885848,2,+886 2 2311 9495,$300-750,4.5,中式料理,3,597,78,69,80
16,鼎泰豐 天母店,111台灣台北市士林區中山北路六段77號B1,4.5,4.5,3668,25.105072,121.524475,14.07195679,4,+886 2 2833 8900,$300-750,4.5,中式料理,346,4014,90,97,60
17,屋頂上,111台灣台北市士林區凱旋路61巷4弄33號,4.2,4.2,6898,25.1334811,121.5394123,16.64311358,4,+886 2 2862 2255,$750-1350,4,中式料理,152,7050,83,99,50
18,草山夜未眠景觀餐廳,111台灣台北市士林區東山路25巷81弄99號,4.4,4.4,7024,25.1340198,121.5353772,16.79708629,4,+886 2 2862 3751,$300-750,4.5,中式料理,47,7071,88,99,50
19,ZEST CAFE' 甜橙風味 35休閒景觀餐廳,111台灣台北市士林區中山北路七段232巷1弄72號,3.5,3.5,685,25.1328299,121.5362179,16.64805558,4,+886 2 2862 0588,$300-750,3,中式料理,1,686,69,72,50
20,麥當勞-台北中央餐廳,112台灣台北市北投區中央北路四段534號,3.6,3.6,1817,25.1280896,121.4678115,19.07407547,4,+886 2 2895 2638,$1-300,3.5,中式料理,2,1819,71,91,40
21,Just Grill,110台灣台北市信義區松高路11號誠品信義旗艦店6F,4.3,4.3,1956,25.0397197,121.5658739,5.890737646,1,+886 2 8786 6099,$750-1350,4,中式料理,218,2174,85,93,90
22,饗食天堂 台北信義店,110台灣台北市信義區松壽路12號ATT 4 FUN百貨6樓,4.2,4.2,4695,25.03531,121.5660665,5.405506592,1,+886 2 7737 5889,$300-750,4,中式料理,91,4786,83,98,90
23,捌伍添第 85TD Chinese Restaurant,110台灣台北市信義區信義路五段7號85 樓,4.4,4.4,559,25.0338619,121.5644734,5.282180125,1,+886 2 8101 0085,,5,中式料理,8,567,88,68,90
24,松果院子 Restaurant Pinecone,105台灣台北市松山區富錦街449號,4.2,4.2,1789,25.0609466,121.5615693,8.290562613,2,+886 2 2765 0386,$300-750,4.5,中式料理,18,1807,84,91,80
25,湘川烤魚｜重慶烤魚｜麻辣干鍋｜特色小炒｜淡水美食｜淡水餐廳推薦｜輕軌美食｜包廂宴席｜中式料理,251台灣新北市淡水區新市二路四段265號,4.5,4.5,1195,25.1925651,121.4454199,26.33548703,4,+886 2 8631 8000,$300-750,0,中式料理,0,1195,90,84,20
26,晟記港式燒腊,112台灣台北市北投區知行路291號,3.6,3.6,355,25.1217891,121.467276,18.53690683,4,+886 2 2858 2233,$1-300,0,中式料理,0,355,72,57,40
27,McCafé咖啡-台北中央店,112台灣台北市北投區中央北路四段534號1樓,4.7,4.7,51,25.1282366,121.4679008,19.0823004,4,+886 2 2895 2638,,3.5,中式料理,2,53,93,15,40
28,海鮮王餐廳,108台灣台北市萬華區西寧南路22-1號,3.4,3.4,98,25.0462205,121.5068182,9.578992883,3,+886 2 2370 0002,$1-300,5,中式料理,1,99,68,26,70
29,黔園川菜餐廳,108台灣台北市萬華區峨眉街88-1號,4,4,780,25.0440336,121.5038049,9.643898902,3,+886 2 2314 8232,$300-750,4,中式料理,20,800,80,76,70
